대상,상품
어업업계 종사자들,0
 재해로 인해 피해를 입은 어업인,0
 정부 주관부처에서 복구지원이 확정된 자,0
 중앙재난안전대책본부 및 어업재해대책심의위원회에 의해 심의? 의결된 금액 이내의 자,0
 재해 발생으로 인해 복구 자금이 필요한 어업인들,0
어업인들이 경영 부담을 경감하고자 수산장비를 구입하려는 사람들,1
 고품질이고 고성능인 수산기자재를 사용하고자 하는 사람들,1
" 「수산업·어촌 발전 기본법」 및 「농어업경영체 육성 및 지원에 관한 법률」에 규정된 수산인, 어업경영체 등록된 어업인(어업법인) 및 생산자단체로서 수산장비를 구입하고자 하는 사람들",1
 「수산사업자금 집행관리 기본규정」에 의해 수산정책자금 부당사용자로 지원 제한 기간이 경과하지 않은 사람들,1
 수산장비 구입을 위한 융자금을 활용하려는 사람들,1
산지 중도매인으로 수산물 구매를 하는 사람들,2
 새로운 사업을 시작하는 중도매인으로서 기존 사업자의 대출한도 내에서 자금 지원을 받을 수 있는 사람들,2
 연간 구매실적을 125% 달성할 수 있는 사람들,2
 대출 기간이 1년인 것을 선호하는 사람들,2
 대출 원금상환일 및 이자납입일을 은행의 휴업일에 맞춤적으로 조정할 수 있는 사람들,2
어획량 제한 등의 의무 부담이 있는 어업인들이 대출 상품을 이용할 수 있다.,3
" 고등어, 전갱이, 대게 등 TAC 대상 어종과 시범사업 대상 어종을 어획하는 어업인들이 대출 상품을 이용할 수 있다.",3
 CRS 6B등급 이상이거나 CSS 6등급 이상의 신용등급을 가진 사람들이 대출 상품을 이용할 수 있다.,3
 경영 개선 자금이 필요한 어업인들이 대출 상품을 이용할 수 있다.,3
 영어자금 및 TAC 자금을 포함한 자금이 130% 범위 내인 사람들이 대출 상품을 이용할 수 있다.,3
"양식업, 어선어업, 구획어업, 천일염업, 정치망어업, 신고?마을?종묘생산어업에 종사하는 어업인",4
 법적 인가나 신고를 받은 어업인,4
 시험어업의 승인을 받은 어업인,4
 염전에서 천일염 생산을 하는 자,4
 관상어양식업 신고를 필한 어업인,4
양식시설 현대화를 희망하는 어업인들,5
 대외 경쟁력을 강화하고자 하는 어업인들,5
 자금이 부족하여 양식시설 개선을 하지 못하고 있는 어업인들,5
 지자체로부터 지원대상자로 선정된 어업인들,5
 어업인들이 경영 안정에 필요한 자금을 구하고자 하는 경우,5
경영평가위원회에서 심의·확정을 받은 어업인,6
" 재해, 어패류 질병, 수산물 가격의 급락 등으로 일시적 경영위기에 처한 어업인",6
 자금이 필요한 어가의 경영안정을 도모하고자하는 어업인,6
 수산업을 영위하고 있는 사람들,6
 경영안정에 필요한 자금을 저리로 지원받고자 하는 어업인,6
청장년으로서 수산업에 종사하고자 하는 개인,7
 신용등급이 CRS 6B등급 이상이거나 CSS 6등급 이상인 자,7
 어업인후계자로서 사업기반 조성 및 경영개선에 자금이 필요한 개인,7
 이미 기 대출받은 귀어창업지원자금이 있는 어업인후계자,7
 수산업 경영에서 우수한 성과를 거두고 있어 추가 자금 지원이 필요한 우수 경영인,7
양식산업에 종사하는 사람들 중 경쟁력 강화와 경영비 부담 완화를 위해 지원받고자 하는 농어업인,8
 국내 배합사료 가격시장의 안정을 위해 자금을 필요로 하는 사료업체,8
 지역의 양식산업 발전을 위해 지원받고자 하는 지자체(시·도),8
 법인으로서 어가를 운영하며 수산정책자금 지원을 받고자 하는 기업,8
 어류 양식 업체로서 어류 생산량 증가를 위해 자금이 필요한 기업,8
귀어나 귀촌을 희망하는 도시민,9
 어업 창업이나 주택 구입을 희망하는 사람,9
 신용등급이 CRS 6B등급 이상 또는 CSS 6등급 이상인 사람,9
" 어선어업, 양식업, 어촌비즈니스 분야 등 수산관련 사업을 원하는 사람",9
 주택 구입을 위해 주택 구입자금이 필요한 사람,9
수산물 가공 및 유통업체를 운영하는 기업들이 대출 상품을 이용할 것입니다.,10
 유통 플랫폼 기업들이 대출 상품을 이용하는 경우가 있을 것입니다.,10
 생산자 조직인 어촌계 및 영해 조합법인도 이 대출 상품을 이용할 가능성이 있습니다.,10
 수산물 원료 수매에 관련된 사업을 하는 기업들이 이 대출 상품을 이용하게 될 것입니다.,10
" 수산물 가공 및 유통과 관련된 사업 종류에 맞춰 대출한도가 차등 지정되며, 대출액의 일정 비율 이상의 수매 실적을 보여야 합니다.",10
귀농 귀촌을 희망하는 사람들,11
 농업에 종사하고 있는 개인,11
 농·축협 조합원,11
" 농업인으로서 출자금, 사업준비금지분, 경제사업이용실적이 있는 사람들",11
" 신용등급이 CSS 6등급 이상 및 CB(NICE, KCB) 5등급 이상인 사람들",11
경제사업을 진행하는 농·축협 회원들이 대출 상품을 이용하는 경우,12
 농·축협 경제사업 이용자 및 하나로 고객들이 신용대출 추가한도를 받아야 하는 경우,12
 연체나 지연 없이 신청자가 1년 이상 대출을 상환한 경우에 금리할인 혜택을 받을 수 있는 경우,12
 개인 대상으로 법인은 대출 신청이 불가능한 경우,12
 대출한도는 농협에서 정한 기준에 의해 담보여신과 신용여신이 결합되어 결정되는 경우,12
업을 직업으로 하는 사람들,13
 농어가목돈마련저축에 관심이 있는 사람들,13
 재무적으로 불안정한 상황에 있는 농업인들,13
 빠른 현금 필요로 인해 입금한 농어가목돈마련저축에 대출 신청하고 싶은 사람들,13
 생활안정과 재산형성에 관심이 있는 농업인들,13
"급하게 자금이 필요한 조합원, 동일세대 가족 멤버",14
 긴급한 입원비용으로 자금이 필요한 사람들,14
 천재지변 등으로 인해 자금지원이 필요한 사람들,14
" 조합원, 동일세대원인 가족, 조합장이 자금지원이 필요하다고 인정하는 사람들",14
 각종 자연재해 등으로 긴급자금이 필요한 사람들,14
농업인 중 정부의 농기계 구입 지원금을 받을 수 있는 사람들,15
 농업법인인 농업 회사법인이나 영농조합법인 소유주,15
 중고 트랙터나 중고 콤바인을 폐차한 후 신품을 구입하려는 사람들,15
 농기계 구입 비용의 100% 이내에서 대출을 받고 싶은 사람들,15
 원금균등분할상환 방식으로 대출금을 상환하고 싶은 사람들,15
일시적인 경영위기에 처한 농업인이 대출 상품을 이용할 가능성이 높습니다.,16
 농업용 부채를 갖고 있는 농업인이 대출 상품을 이용하려고 할 것입니다.,16
" 재해, 가축질병 또는 농축산물 가격의 급락 등으로 일시적인 경영위기에 처한 농업인이 대출 상품을 필요로 할 것입니다.",16
" 농업인으로서 개인 사업자인 경우, 20억원 이내의 대출 한도를 가질 것입니다.",16
" 농업법인으로서 대출을 원하는 경우, 30억원 이내의 대출 한도를 가질 것입니다.",16
사업을 확장하려는 농업인들,17
 농업경영체의 사업계획을 평가받고 싶은 농업법인들,17
 농업정책자금 지원을 받고자 하는 농업인들,17
 농업 시설이나 운전 등에 자금이 필요한 농업인들,17
 농업 시설이나 개보수에 자금이 필요한 농업법인들,17
30대의 농가 경영에 관심이 있고 경영 능력이 우수한 사람들,18
" 청년농업인의 영농계획서가 평가되어 사업대상자로 선발된 특별시장, 광역시장, 특별자치시장, 도지사, 특별자치도지사",18
 농가 경영주의 고령화 추세 완화를 위해 농업 분야에 진출하고자 하는 젊고 유능한 인재,18
 농가 경영에 필요한 자금을 지원받아 창업하고자 하는 사람들,18
 젊은 세대의 농업인력 구조 개선을 위해 농업정책자금 대출을 활용하고자 하는 사람들,18
