금융기관코드,대출상품내용,상품판매여부,최대금액,대출상품명,링크,대상,비고,상품설명,대상상세,금리,금리상세,대출한도,상환방법,상환방법상세,수수료,중도상환수수료,중도상환수수료2,,필요서류,비고 2,,,,,,,,,,,,,
,재해발생으로 피해를 입은 어업인에 대하여 복구자금을 저리로 지원하는 수산정책자금,Y,,피해복구자금,<a href=https://www.suhyup-bank.com/></a>,중앙재난안전대책본부 및 어업재해대책심의위원회 등 정부 주관부처에서 복구지원이 확정되어 통보된 자,,"재해발생으로 피해를 입은 어업인에 대하여 복구자금을 저리로
지원하는 수산정책자금",,,"연 1.5%
※ 연체금리 : 최고 연 15%, (전전월 이차보전 기준금리 + 3%(1개월 단위 변동)",중앙재난안전대책본부 및 어업재해대책심의위원회 등 심의? 의결금액 이내,"대출기간 : 15년
상환방법 : 5년 거치 10년 원금균등분할상환(연4회 분할상환)
이자상환방법 : 3개월 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다/",,"
인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원

보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※. 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"① 어업인확인서류
어업인확인서, 어업경영체확인서, 선박입출항사실확인서, 위판실적확인서
② 면허 등 확인서류
어업허가증, 어업면허증, 어업신고필증
③ 신용평가서류
<개인사업자>

기업실태조사표,(당행양식) 사업자등록증명원, 결산재무제표,(최근3개년분) 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표,(당행양식) 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분) 주주명부 등",,,,,,,,,,,,,,
,"수산장비 구입 지원을 통해 어업인 등의 경영 부담을 경감하고, 고품질·고성능 수산기자재 사용 기반 마련으로 수산기자재 산업 육성",Y,,수산장비구입지원사업,<a href=https://www.suhyup-bank.com/></a>,"「수산업·어촌 발전 기본법」 및 「농어업경영체 육성 및 지원에 관한 법률」에서 규정하고 있는 수산인(유통.가공업체), 어업경영체 등록된 어업인(어업법인) 및 생산자단체로서 수산장비를 구입하고자 하는 자
제외대상 : 「수산사업자금 집행관리 기본규정」 제16조에 따라 수산정책자금 부당사용자로 지원제한 기간 미 경과자, 「수산사업자금 융자제한 등에 관한 규정」 제4조에 따라 융자금 지원이 제한 된 자
융자금은 수산장비(신제품) 구입자금으로 사용하여야 하며, 융자사업 목적 이외의 용도에 사용할 수 없음",,"수산장비 구입 지원을 통해 어업인 등의 경영 부담을 경감하고, 고품질·고성능 수산기자재 사용 기반 마련으로 수산기자재 산업 육성",,고정+변동금리,"구분		고정금리	변동금리
어업인(개인)	연2.0%	농업정책자금 대출 적용
3개월 변동금리 준용
수산인.어업법인.생산자단체	연3.0% 농업정책자금 대출 적용 3개월 변동금리 준용
※ 연체금리 : 최고 연 15% (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)","융자한도액(1억원) 내에서 거래가격의 80% 지원
부가가치세 환급대상 어업용기자재의 경우에는 판매금액에서 감면세액을 차감한 금액의 80% 이내","대출기간 : 8년
상환방법 : 1년거치 7년 원금균등상환
(분할원금은 1만원 단위로 산출하며, 단수가 생긴 때에는 최초 분할상환원금에 가산)
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업허가증, 어업면허증, 어업신고필증
②신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등",,,,,,,,,,,,,,
,산지 중도매인의 수산물 구입자금 지원,Y,,산지중도매인유통자금,<a href=https://www.suhyup-bank.com/></a>,산지중도매인,,산지 중도매인의 수산물 구매자금 지원,,고정금리,"고정금리 연 3.0%, 변동금리[농업정책자금 대출 적용 변동금리 적용(3개월변동)] 中 선택
※ 연체금리 : 최고 연 15% (전전월 이차보전기준금리 + 연체가산금리 3%)","사업자당 대출한도는 7억원
신규사업자는 기존사업자 대출한도의 10% 범위내에서 지원 가능
사업의무 : 연간 지원금액의 125% 구매실적 달성","대출기간 : 1년
상환방법 : 만기일시상환
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일로 이월됩니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등",,,,,,,,,,,,,,
,"TAC(총허용어획량)제도 참여에 따른 어획량제한 등의 의무부담에 대한 인센티브차원에서 어업인에게
지원하는 경영개선자금
* TAC(Total Allowable Catch):개별어종에 대한 연간 총허용어획량을 정하여 그 한도 내에서만 어획을
허용하는 자원관리제도로, 유엔해양법협약 발효에 따른 연안국의 어업자원에 대한 관할권강화 및 전통적
어업관리제도의 한계를 보완하기 위해 1999년에 도입한 제도",Y,,TAC참여어업인경영개선자금,<a href=https://www.suhyup-bank.com/></a>,"
TAC 참여어업인(다만 제주도 소라 채취 어업인은 제외)
TAC 대상어종 : 고등어, 전갱이, 대게, 붉은대게, 개조개, 키조개, 꽃게, 오징어, 도루묵, 참홍어, 바지락, 갈치, 삼치, 참조기(총 14개 어종) 및 주)시범사업 대상 어종
신용등급이 CRS 6B등급 이상이거나 CSS 6등급이상인 자",,"TAC(총허용어획량)제도 참여에 따른 어획량제한 등의 의무부담에 대한 인센티브차원에서 어업인에게 지원하는 경영개선자금
",,고정+변동금리,"
구분	고정금리	변동금리
어업인
(개인, 개인사업자, 영어조합법인, 어업회사법인, 어촌계)	연 2.5%	어업인변동금리 주)
(3개월변동)
조합등
(어업인 이외 수산분야에 연관된 조합, 법인, 단체 등)	연 3.0%	
※ 주) 어업인변동금리: 전전월 농협은행 가계담보대출 평균금리-(어업인2%, 비어업인1%)

※ 조합 등은 고정금리만 사용가능(변동금리 적용불가)

※ 연체금리 : 최고 연 15% (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)","매년 수산발전기금 사업집행지침에 의거 결정
영어자금소요액의 130%범위(기 지원된 영어자금 및 TAC자금 포함)","대출기간 : 5년
상환방법 : 2년거치 3년분할상환
(분할원금은 1만원 단위로 산출하며, 단수가 생긴 때에는 최초 분할상환원금에 가산)
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일로 이월됩니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※. 보증료율 (0.1% ~ 1.2% 구간)
담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업허가증, 어업면허증, 어업신고필증
②신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등",,,,,,,,,,,,,,
,어가의 어업경영에 소요되는 운영비에 사용하도록 저리로 지원하는 수산정책자금,Y,,어업경영자금,<a href=https://www.suhyup-bank.com/></a>,"「어업경영자금 운용요령」제4조제1항에 의한 어업인 중 양식업, 어선어업, 구획어업, 천일염업, 정치망어업, 신고?마을?종묘생산어업에 종사하는 자
「수산업법」 제8조, 제41조, 제47조에 의하여 면허 또는 허가를 받았거나 신고를 필한 자
「내수면어업법」 제6조, 제9조 및 제11조에 따라 면허 또는 허가를 받았거나 신고를 필한 자
「수산업법」 제45조에 따라 시험어업의 승인을 받은 자
「소금산업진흥법」 제23조제1항에 따라 염전에서의 천일염이나 그 밖의 대통령령으로 정하는 소금의 생산?제조를 업으로 하는 자
「관상어산업의 육성 및 지원에 관한 법률」 제12조의 규정에 의하여 관상어양식업의 신고를 필한 자",,어가의 어업경영에 소요되는 운영비에 사용하도록 저리로 지원하는 수산정책자금,,고정+변동금리,"구분	고정금리	변동금리	비고
양식업 및 어선어업, 천일염업 등	어업인	대출잔액 10억원 이하	2.5%	수협은행 고시금리 준용
(3개월변동)	선택
가능
일반법인 등	대출잔액 10억원 이하	3.0%	어업인변동금리+1.0%p
(3개월변동)	선택
가능
대출잔액 10억원 초과	3.0%	-	고정
금리
의무
적용
신고ㆍ마을ㆍ종묘 생산어업	대출잔액 10억원 이하	2.0%	수협은행 고시금리 준용
(3개월 변동)	선택
가능
어업인 : 자연인,어촌계,영어조합법인,어업회사법인
일반법인등 : 어업인 외 수산분야 법인 및 단체
※ 연체금리 : 최고 연 15%, (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)","동일인당 융자 최고한도(동일인은 세대주를 같이하는 가구원을 말함)
- 개인/개인사업자 10억원, 법인 15억원
가구당(업체당) 융자비율
구분	융자 비율	비 고
신고(맨손)어업	가구당 300만원 까지	
마을?신고(투망, 나잠)?구획?협동양식 및 자율관리시범실시어업 참여 어업인	소요액의 100%까지	마을어업 어장에 입어? 행사 계약한 나잠어업인의 소요액은 신고어업 중 나잠어업으로 적용 가능
구획어업, 자율관리어업 참여어업인, TAC 참여 어업인	소요액의 100%까지	자율관리어업은 평가등급 3등급이상에 한함(’23년부터 적용)
어업인후계자, 새어업인상 수상자	소요액의 100%까지	선정 후 3년에 한함
가구(업체)당 경영비 2억원 미만

2억원 이상～5억원 미만

 

5억원 이상～10억원 미만

 

10억원 이상

 

소요액의 100%까지

200백만원 + 2억원 초과

소요액의 85%까지 가산

455백만원 + 5억원 초과

소요액의 75%까지 가산

830백만원 + 10억원 초과

소요액의 65%까지 가산
","대출기간 : 대출일로부터 1년이내,
단, 양식업의 경우, 생산 소요기간 2년 이상의 종묘생산 또는 어?패류 등 양식은 2년 이내, 생산 소요기간 2년 미만의 종묘생산 또는 어?패류 등 양식은 1년 이내 적용
기간연장 : 1년씩 2회 연장 가능
상환방법 : 만기일시상환
이자상환방법 : 3개월 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※. 보증료율 (0.1% ~ 1.2% 구간)
담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업인확인서, 어업경영체확인서, 선박입출항사실확인서, 위판실적확인서
②면허 등 확인서류
어업허가증, 어업면허증, 어업신고필증
③신용평가서류
<개인사업자>

기업실태조사표,(당행양식) 사업자등록증명원, 결산재무제표,(최근3개년분) 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표,(당행양식) 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분) 주주명부 등",,,,,,,,,,,,,,
,양식시설을 현대식으로 개선하여 대외 경쟁력 확보 및 어업인 경영안전에 필요한 자금을 저리로 지원하는 수산정책자금,Y,,양식시설현대화자금,<a href=https://www.suhyup-bank.com/></a>,지자체(시.도)로부터 지원대상자로 확정된 자,,양식시설을 현대식으로 개선하여 대외 경쟁력 확보 및 어업인 경영 안정에 필요한 자금을 저리로 지원하는 수산정책자금,,고정금리,"고정 1.0%,
※ 연체금리 : 최고 연 15% (전전월 이차보전 기준금리 + 연체가산금리 3%)","지자체(시?도) 융자결정금액 이내(총사업비 중 대출 80%, 자부담 : 20%)
어가(법인)* 당 최대 지원한도 기준 및 범위

구분	지원한도
	총사업비		융자지원		본인부담
신설	80억원이하	64억원이하	16억원이하
증설, 개보수	50억원이하	40억원이하	10억원이하

* 어가는 주민등록상 한 세대주를 원칙으로 동일한 세대에 여러 명이 면허?허가?신고권자인 경우 1어가로 인정되어 최대 지원한도 범위 내에서 지원 가능함.","대출기간 : 10년
원금상환방법 : 3년거치 7년 원금균등분할상환
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※. 보증료율 (0.1% ~ 1.2% 구간)
담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등.",없음,,,"①어업인확인서류
양식관련 허가증 또는 면허증
②신용평가서류
<개인사업자>

기업실태조사표,(당행양식) 사업자등록증명원, 결산재무제표,(최근3개년분)
주민등록등본, 소득금액증명원, 부가가치세납세증명서 등
<법인>

기업실태조사표,(당행양식) 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분) 주주명부 등",,,,,,,,,,,,,,
,"
건실하게 수산업을 영위하다가 재해, 어·패류질병, 적조, 수산물 가격의 급락 등 그 밖의 사유로 일시적 경영위기에 처한 어업인의 회생 지원을 통해 어가의 경영안정 도모",Y,,수산업경영회생자금,<a href=https://www.suhyup-bank.com/></a>,경영평가위원회에서 심의·확정을 받은 어업인,,"재해, 어패류 질병, 수산물 가격의 급락, 그 밖의 사유로 일시적 경영위기에 처한 어업인에게 경영안정에 필요한 자금을 저리로 지원하는 수산정책자금",,고정금리,"고정금리 연 1.0%(고정금리, 2020.12.10일 현재)
※ 연체금리 : 최고 연15% (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)",경영평가위원회 심의·의결금액 이내,"대출기간 : 12년
상환방법 : 5년거치 7년 원금균등분할상환
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",,,,"①어업인확인서류
어업인확인서, 어업경영체확인서, 선박입출항사실확인서, 위판실적확인서
②면허 등 확인서류
어업허가증, 어업면허증, 어업신고필증
③신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등",,,,,,,,,,,,,,
,수산업에 종사할 의욕이 있는 청장년을 발굴 지도하고 사업기반 조성 및 경영개선에 필요한 자금을 저리로 지원하는 수산정책자금,Y,,수산업경영인육성자금,<a href=https://www.suhyup-bank.com/></a>,"시·도 및 관할 수산사무소 등의 행정지관에서 구성한 전문 심사위원회에서 수산업경영인으로 선발되어 지원대상자로 확정된 자
신용등급이 CRS 6B등급 이상이거나 CSS 6등급 이상인 자",,수산업에 종사할 의욕이 있는 청장년을 발굴 지도하고 사업기반 조성 및 경영개선에 필요한 자금을 저리로 지원하는 수산정책자금,,,"어업인후계자 : 고정금리 연 1.5%, 또는 변동금리(선택가능)
우수경영인 : 고정금리 연 1.0%
※ 연체금리 : 최고 연15% (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)","어업인후계자 : 최대 5억원
우수 경영인 : 추가 2억원
* 기 대출받은 귀어창업지원자금이 있는 경우 어업인후계자 한도에서 차감하여 산정.","대출기간 : 어업인후계자(25년), 우수경영인(15년)
상환방법 : 어업인후계자(5년 거치 20년 원금균등분할상환),
우수경영인(5년 거치 10년 원금균등분할상환)
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업인확인서, 어업경영체확인서, 선박입출항사실확인서, 위판실적확인서
②면허 등 확인서류
어업허가증, 어업면허증, 어업신고필증
③신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등
④담보관련서류
등기부등본, 어선원부, 어업권원부 등
⑤기타서류
사업추진(예정)실적 확인서 및 관련 증빙 서류",,,,,,,,,,,,,,
,양식산업의 경쟁력 강화와 국내 배합사료 가격시장의 안정 및 어가의 경영비 부담 완화를 위해 저리로 지원하는 수산정책자금,Y,,배합사료구매자금,<a href=https://www.suhyup-bank.com/></a>,지자체(시·도)로부터 지원대상자로 확정된 자,,"양식산업의 경쟁력 강화와 국내 배합사료 가격시장의 안정 및 어가의 경영비 부담 완화를 위해 저리로 지원하는 수산정책자금
",,고정금리,"고정금리 연 1.0%
※ 연체금리 : 최고 연15% (전전월 이차보전기준금리+연체가산금리 연3%)",어가(법인) 당 최대 지원한도 3억원,"대출기간 : 패류 2년, 어류 3년
원금상환방법 :
패류 - 2년 원금균등분할상환
어류 - 3년(1년거치 2년 원금균등분할상환)
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업허가증, 어업면허증, 어업신고필증
②신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등",,,,,,,,,,,,,,
,귀어·귀촌을 희망하는 도시민에게 어업 창업자금과 주택구입 자금을 저리로 지원하는 수산정책자금,Y,,귀어 창업 및 주택구입 지원자금,<a href=https://www.suhyup-bank.com/></a>,"귀어·귀촌인으로 수산분야 및 어촌비지니스 분양의 창업 또는 주택을 구입하고자 사업선정기관이 대출 금액을 결정하여 통보한 자
신용등급이 CRS 6B등급 이상이거나 CSS 6등급 이상인 개인",,귀어·귀촌을 희망하는 도시민에게 창업자금과 어가 주택구입 자금을 저리로 지원하는 수산정책자금,"≪창업자금≫

어선어업 : 어선건조 및 구입, 어선개량 및 보수, 어구 및 장비 구입
양식업 : 양식장 매입, 신.증축 및 시설개보수
양식장 부지 구입(기존 양식장을 소유하고 있는 경우는 추가 부지구입 불가)
부지와 시설포함 매입: 최대3억원
부지구입 : 최대1.5억원
종자입식비, 양식장기자재.어장관리선(엔진)구입
수산물 가공·유통 : 수산물 가공, 보관 및 유통?판매 등을 위한 시설매입, 신(증)축 및 시설개보수비
(부지구입 최대 1.5억원)
염제조업 : 염전 부대시설 신축 및 개·보수 및 구입비
기타 : 폐수처리 및 저장시설의 설치, 수산장비 구입등 기반시설의 설치
어촌비즈니스 분야(어촌관광, 해양수산레저)
어촌체험 및 해양수산레저 체험시설 건축·리모델링·관련 장비 구입 비용 등
기타 어촌비즈니스 관련 사업 시설의 설치 등
≪주택구입자금≫

주택구입(매입, 신축, 리모델링 등) 지원
대상지역은 읍·면·동(농어촌지역에 한함) 지역 중 상업지역 및 공업지역을 제외한 지역
대출대상 주택은 연면적 150㎡ 이하인 주택",고정금리,"고정금리 연 2.0%
※ 연체금리 : 최고 연15% (전전월)이차보전 기준금리 + 3%p(1개월 단위 변동)","창업자금 : 사업대상자 당 300백만원 한도 이내
주택구입 지원자금 : 세대 당 75백만원 한도 이내
※ 정부·지자체 및 정부산하기관으로부터 타 정책자금(융자)을 대출 받은 경우, 시설성 대출 잔액은 지원한도에서 차감","대출기간 : 15년
상환방법 : 5년거치 10년 원금균등분할상환
이자상환방법 : 1년 후취
* 원금상환일 또는 이자납입일이 은행의 휴업일인 경우 익영업일에 납입합니다.",,"인지세
대출금액	5천만원 이하	5천만원 초과
~ 1억원 이하	1억원 초과
~ 10억원 이하	10억원 초과
인지세액	비과세	70,000원	150,000원	350,000원
고객부담
인지세액	비과세	35,000원	75,000원	175,000원
보증료
보증기금 보증서 관련 보증료는 고객이 부담하고, 자세한 사항은 해당 보증기금 홈페이지를 참고하시기 바랍니다.
※ 보증료율 (0.1% ~ 1.2% 구간)

담보관련비용
담보물 근저당권설정비용 중 국민주택채권 매입비
담보물 화재보험가입 보험료(단, 보험사 선택은 고객의 자유재량입니다)
담보물 근저당설정 말소 관련 비용 등",없음,,,"
①어업인확인서류
어업인확인서, 어업경영체확인서, 선박입출항사실확인서, 위판실적확인서
②면허 등 확인서류
어업허가증, 어업면허증, 어업신고필증
③신용평가서류
<개인사업자>

기업실태조사표(당행양식), 사업자등록증명원, 결산재무제표(최근3개년분), 주민등록등본, 소득금액증명원,
부가가치세납세증명서 등
<법인>

기업실태조사표(당행양식), 사업자등록증명원, 법인등기부등본, 정관, 결산재무제표(최근3개년분), 주주명부 등
④기타서류
사업추진(예정)실적 확인서 및 관련 증빙 서류",,,,,,,,,,,,,,
